"YEAR","CASEID","PERNUM","LINENO","WT06","LVWT"
2017,20170101171021,1,1,20639826.29405200,0.00000000000000
2017,20170101171037,1,1,6366803.441305000,0.00000000000000
2017,20170101171049,1,1,14480086.98695700,0.00000000000000
2017,20170101171053,1,1,4331768.833633000,0.00000000000000
2017,20170101171075,1,1,13147802.51429800,0.00000000000000
2017,20170101171085,1,1,2649990.607349000,0.00000000000000
2017,20170101171089,1,1,4336191.620081000,0.00000000000000
2017,20170101171093,1,1,12845201.86172700,0.00000000000000
2017,20170101171101,1,1,1302805.403207000,0.00000000000000
2017,20170101171125,1,1,1712637.731123000,1712401.55377000
2017,20170101171149,1,1,21258513.85781700,20090047.5314530
2017,20170101171150,1,1,1718013.724144000,0.00000000000000
2017,20170101171151,1,1,5157290.420824000,0.00000000000000
2017,20170101171174,1,1,5082230.602497000,0.00000000000000
2017,20170101171196,1,1,4869848.930596000,0.00000000000000
2017,20170101171199,1,1,12476251.54645800,0.00000000000000
2017,20170101171212,1,1,3614128.957208000,3389291.70930600
2017,20170101171213,1,1,3747913.024684000,4252657.41277300
2017,20170101171233,1,1,6240850.216906000,10074408.7290720
2017,20170101171234,1,1,5985753.935225000,5514542.03941500
2017,20170101171261,1,1,3494837.220982000,0.00000000000000
2017,20170101171280,1,1,4715422.164731000,2693523.83046900
2017,20170101171305,1,1,3791961.276854000,0.00000000000000
2017,20170101171322,1,1,3254924.431868000,0.00000000000000
2017,20170101171336,1,1,6014097.965053000,0.00000000000000
2017,20170101171338,1,1,3755588.674158000,0.00000000000000
2017,20170101171341,1,1,12720292.37895600,0.00000000000000
2017,20170101171343,1,1,2320023.951530000,1845175.33303200
2017,20170101171360,1,1,7065156.484748000,6693658.09593800
2017,20170101171391,1,1,5703554.615515000,9386093.72221800
2017,20170101171401,1,1,4905023.641682000,4337506.34569600
2017,20170101171429,1,1,5479594.988350000,0.00000000000000
2017,20170101171443,1,1,6248859.970616000,0.00000000000000
2017,20170101171458,1,1,11804822.88722600,22068444.7063040
2017,20170101171468,1,1,8722632.657300000,13490659.9007970
2017,20170101171491,1,1,3100169.345365000,2272327.77196300
2017,20170101171513,1,1,3838566.837492000,0.00000000000000
2017,20170101171534,1,1,3431731.787567000,2092993.78534100
2017,20170101171558,1,1,4633180.085264000,0.00000000000000
2017,20170101171563,1,1,10107583.50876600,10144012.6870280
2017,20170101171571,1,1,7894600.686572000,12924232.7594210
2017,20170101171573,1,1,16199612.43743400,21328300.2013380
2017,20170101171579,1,1,6851599.072944000,0.00000000000000
2017,20170101171589,1,1,2545144.222586000,1467527.95874700
2017,20170101171609,1,1,41452603.34766700,0.00000000000000
2017,20170101171621,1,1,15898804.97584500,0.00000000000000
2017,20170101171629,1,1,4724216.945886000,5947708.90484700
2017,20170101171648,1,1,3775279.204708000,2297714.60025100
2017,20170101171652,1,1,18105879.90298400,0.00000000000000
2017,20170101171654,1,1,5359894.315970000,0.00000000000000
2017,20170101171680,1,1,6008663.343257000,0.00000000000000
2017,20170101171681,1,1,3586391.236524000,3894813.20618900
2017,20170101171686,1,1,5418617.470285000,6516086.91570000
2017,20170101171687,1,1,7791007.425323000,6744563.74332800
2017,20170101171713,1,1,16863793.29886000,0.00000000000000
2017,20170101171716,1,1,2937971.330610000,0.00000000000000
2017,20170101171728,1,1,5387093.103433000,0.00000000000000
2017,20170101171729,1,1,5086727.993181000,5487487.06716700
2017,20170101171741,1,1,5312697.093125000,0.00000000000000
2017,20170101171756,1,1,5315322.409662000,4427330.41752000
2017,20170101171757,1,1,8657150.166741000,0.00000000000000
2017,20170101171774,1,1,7374482.709485000,7259700.42155500
2017,20170101171786,1,1,1308474.044547000,0.00000000000000
2017,20170101171808,1,1,14222728.52404400,0.00000000000000
2017,20170101171812,1,1,1343309.854503000,1469863.12840300
2017,20170101171822,1,1,10428506.13158700,0.00000000000000
2017,20170101171823,1,1,3410901.014891000,3231549.82370900
2017,20170101171839,1,1,2598341.894798000,2498957.43185500
2017,20170101171845,1,1,7746585.754234000,0.00000000000000
2017,20170101171853,1,1,3042306.269994000,0.00000000000000
2017,20170101171857,1,1,5135679.890657000,5009219.69905900
