naics4,cust_int,cust_int_indirect,total_linkage,cons_share,naics4_title
3327,0.23549120520079303,0.3060001777018719,73123.0,0.008530271734756834,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing"
3328,0.2723857826443088,0.3399530627614868,27760.0,0.0,"Coating, Engraving, Heat Treating, and Allied Activities"
3329,0.2676433563457501,0.37242109445262933,83143.0,0.15219966237957117,Other Fabricated Metal Product Manufacturing
3331,0.27989990812763826,0.3958576228589374,20331.0,0.07552495402642946,"Agriculture, Construction, and Mining Machinery Manufacturing"
3332,0.27989990812763826,0.34521436348921086,7779.0,0.03900751520935226,Industrial Machinery Manufacturing
3333,0.2967362798231897,0.44612593704912107,13762.0,0.15425684597278833,Commercial and Service Industry Machinery Manufacturing
3334,0.27989990812763826,0.4093562559457933,45743.0,0.09288785722439971,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing"
3335,0.23828892703314308,0.3087327389300896,12790.0,0.01541749351244085,Metalworking Machinery Manufacturing
3336,0.24785302148547983,0.284066526893118,49787.0,0.011240779048436829,"Engine, Turbine, and Power Transmission Equipment Manufacturing"
3339,0.27989990812763826,0.35520970878891256,46805.0,0.11207023485238901,Other General Purpose Machinery Manufacturing
3341,0.25962801428772175,0.43364187387125547,16909.0,0.7450340286615393,Computer and Peripheral Equipment Manufacturing
3342,0.28741705107262533,0.4129754412840745,40751.0,0.3184804224096551,Communications Equipment Manufacturing
3343,0.31993884192178607,0.2808896442092676,5216.0,0.900886292863592,Audio and Video Equipment Manufacturing
3344,0.25644592624130136,0.3330019967593766,105931.0,0.00853804397828687,Semiconductor and Other Electronic Component Manufacturing
3345,0.27403859404583747,0.38750992317553695,35396.0,0.30290164846426376,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing"
3346,0.35723972284565314,0.5300250106291121,3335.0,0.05113202747392521,Manufacturing and Reproducing Magnetic and Optical Media
3351,0.3113467470635041,0.46738750032980175,19801.0,0.26595147508264205,Electric Lighting Equipment Manufacturing
3352,0.281879769844418,0.4617513716659692,9670.0,0.8375060788489594,Household Appliance Manufacturing
3353,0.2746960735769087,0.33139440062640513,38249.0,0.01190648348999759,Electrical Equipment Manufacturing
3359,0.27660591994151534,0.38601333632232193,51810.0,0.23730696905806598,Other Electrical Equipment and Component Manufacturing
3361,0.21535966386044456,0.2654916762284076,5494.0,0.9772350481280776,Motor Vehicle Manufacturing
3362,0.26335761240379185,0.2598591392375801,8260.0,0.5904743218717811,Motor Vehicle Body and Trailer Manufacturing
3363,0.2349760675852253,0.31057451728627955,280373.0,0.08389613487151806,Motor Vehicle Parts Manufacturing
3364,0.24562015080378904,0.25848187067255796,62246.0,0.008468595624558928,Aerospace Product and Parts Manufacturing
3365,0.25463240075864296,0.29901792379101344,4762.0,0.0,Railroad Rolling Stock Manufacturing
3366,0.30794116834213675,0.39010665207403805,2155.0,0.5215646208859374,Ship and Boat Building
3369,0.2672747719900249,0.29094233468921965,3698.0,0.82125328659071,Other Transportation Equipment Manufacturing
3371,0.3656551740758058,0.4499283808971848,15075.0,0.7399101087615366,Household and Institutional Furniture and Kitchen Cabinet Manufacturing
3372,0.3656551740758058,0.47821165930216913,12810.0,0.09559613319011816,Office Furniture (including Fixtures) Manufacturing
3379,0.31369408615196,0.3316398391810908,714.0,0.9729072462666717,Other Furniture Related Product Manufacturing
3391,0.3065828078940855,0.6235348526558941,54431.0,0.42678102141305274,Medical Equipment and Supplies Manufacturing
3399,0.3218280381661117,0.4274983626731065,29309.0,0.8448167959085886,Other Miscellaneous Manufacturing
4231,0.5139709699371869,0.30408689037325093,545.0,0.0,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers
4232,0.5087336059141019,0.3607042615738186,4463.0,0.0,Furniture and Home Furnishing Merchant Wholesalers
4233,0.5087336059141019,0.3607042615738186,4463.0,0.0,Lumber and Other Construction Materials Merchant Wholesalers
4234,0.48884841589221945,0.4443457859907889,9736.0,0.0,Professional and Commercial Equipment and Supplies Merchant Wholesalers
4235,0.5087336059141019,0.3607042615738186,4463.0,0.0,Metal and Mineral (except Petroleum) Merchant Wholesalers
4236,0.5087336059141019,0.4397075034138335,4607.0,0.0,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers
4237,0.5087336059141019,0.3607042615738186,4463.0,0.0,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers"
